Cast†Santa Monica†Hotel_Dining Quiet Takes_Reservations†31-50†Breakfast Brunch Lunch Dinner††1819 Ocean Avenue, Santa Monica, CA 90401†(310) 260-7511†3.5/5†all_American†Cabanas Free valet during lunch†http://www.viceroyhotelsandresorts.com/en/santamonica/dining_and_nightlife/cast/food/breakfast
Catch†Santa Monica†Hotel_Dining Takes_Reservations†31-50†Dinner Drinks††1910 Ocean Ave, Santa Monica, CA 90405†(310) 581-5533†3.5/5†Seafood†lounge†http://www.bytheblueseasantamonica.com/restaurants-catch.html
Coast†Santa Monica†Hotel_Dining Takes_Reservations prime_location†31-50†Breakfast Brunch Lunch Dinner Drinks††1 Pico Blvd, Santa Monica, CA 90405†(310) 587-1707†3.5/5†Seafood all_American†Beachfront Touristy†https://www.shuttersonthebeach.com/dining/coast
Cora's Coffee Shop†Santa Monica†Casual Outdoor_Seating Fusion No_Reservations†20-30†Breakfast Lunch Dinner†High Quality Food; Organic†1802 Ocean Ave, Santa Monica, CA 90401†(310) 451-9562†3.9 / 5†all_American Italian fusion†dinnr tues-sat†http://www.corascoffee.com/
Del Frisco's†Santa Monica†Bar_Scene Great_View Upscale Good_for_Groups Date_Night Good_Ambiance†20-30†Brunch Lunch Dinner††1551 Ocean Ave, Santa Monica, CA 90401†(310) 395-7333†4.2 / 5†Steakhouse††http://delfriscosgrille.com/
El Cholo†Santa Monica†Fun Lively Good_for_Groups Secret Healthy_Options†31-50†Drinks Dinner††1025 Wilshire Blvd, Santa Monica, CA 90401†(310) 899-1106††Mexican††http://elcholo.com/location/santa-monica
Enterprise Fish Co†Santa Monica†Outdoor_Seating Great_View Casual Good_for_Groups Good_Ambiance†31-50†Lunch Dinner††174 Kinney St, Santa Monica, CA 90405†(310) 392-8366††all_American Seafood††http://www.enterprisefishco.com/home
Estate†Santa Monica†Bar_Scene Chef_Inventive Upscale Good_Drinks Date_Night Good_Ambiance†31-50†Dinner††1519 Wilshire Blvd, Santa Monica, CA 90403†(310) 394-7722††Asian Fusion††http://www.estate1519.com/
Ester's†Santa Monica†Wine_Bar Date_Night First_Date Casual Good_for_Groups Small_Plates Outdoor_Seating†20-30†Drinks Dinner††1314 7th St, Santa Monica, CA 90405†(310) 899-6900††Tapas††http://www.esterswineshop.com/
Farmshop†Santa Monica†Casual Chef_Inventive Organic Rotating_Menu†20-30†Breakfast Brunch Lunch Dinner††225 26th St #25, Santa Monica, CA 90402†(310) 566-2400††American Seasonal_Local††http://farmshopca.com/santa-monica/
FIG†Santa Monica†Casual Chef_Inventive Fusion Hotel_Dining Organic†31-50†Breakfast Brunch Lunch Dinner††101 Wilshire Blvd, Santa Monica, CA 90401†(310) 319-3111††Middle_Eastern††http://www.figsantamonica.com/
Herringbone†Santa Monica†Lively Healthy_Options Casual Good_for_Groups hotspot Good_Ambiance†31-50†Brunch Lunch Dinner††1755 Ocean Ave, Santa Monica, CA 90401†(310) 971-4460††all_American Seafood†sceney†http://herringboneeats.com/santa-monica/
Hillstone†Santa Monica†Bar_Scene Date_Night Good_Ambiance†20-30†Lunch Dinner††202 Wilshire Blvd, Santa Monica, CA 90401†(310) 576-7558††all_American Steakhouse††http://hillstonerestaurant.com/locations/santamonica/
Hinterland†Santa Monica†Bar_Scene Fusion Date_Night Good_Ambiance†31-50†Brunch Lunch Dinner††2917 Main St, Santa Monica, CA 90405†(310) 399-0805††Fusion Seafood††http://www.hinterland.la/
Il Ristorante di Giorgio Baldi†Santa Monica†Upscale Authentic Date_Night Classy†50+†Dinner††114 W Channel Rd, Santa Monica, CA 90402†(310) 573-1660††Italian††http://www.giorgio-baldi.com/
Ingo's Tasty Diner†Santa Monica†Casual Good_Drinks Organic Rotating_Menu†20-30†Brunch Dinner††1213 Wilshire Blvd, Santa Monica, CA 90403†(310) 395-4646††American Seasonal_Local††http://www.ingostastydiner.com/
Jinya Ramen Bar†Santa Monica†Casual Good_Drinks Fun Lively†<20†Lunch Dinner††2400 Main St, Santa Monica, CA 90405†(310) 392-4466††Japanese††http://jinya-ramenbar.com/
La Vecchia Cucina†Santa Monica†Casual Authentic Locals Beer_and_Wine†20-30†Lunch Dinner††2654 Main St, Santa Monica, CA 90405†(310) 399-7979††Italian††http://www.lavecchiacucina.com/
Locanda Positano†Marina Del Rey†Authentic Good_for_Parents Hidden_Gem Quiet Takes_Reservations†31-50†Dinner††4059 Lincoln Blvd, Marina Del Rey, CA 90292†(310) 526-3887††Italian†Free parking on the street, great wine selection†http://www.locandapositano.com/
M Street Kitchen†Santa Monica†Healthy_Options Gluten Free Options†20-30†Brunch Lunch Dinner††2000 Main St, Santa Monica, CA 90405†(310) 396-9145††fusion bakery†Waits for brunch, shares a bakery with Stella Barra†http://mstreetkitchen.com/
Manchego†Santa Monica†Good_for_Parents Hidden_Gem Outdoor_Seating Share_Plates†31-50†Dinner††2518 Main St, Santa Monica, CA 90405†(310) 450-3900††Tapas††manchegosm.com
Melisse†Santa Monica†Swanky Fancy Special_Occasion Tasting_Menu†50+†Dinner††1104 Wilshire Blvd, Santa Monica, CA 90401†(310) 395-0881††French††melisse.com
Milo & Olive†Santa Monica†No_Reservations Organic Baked_goods Celeb_Spotting†20-30†Brunch Lunch Dinner††2723 Wilshire Blvd, Santa Monica, CA 90403†(310) 453-6776††all_American Italian††http://www.miloandolive.com/
One Pico†Santa Monica†Hotel_Dining Bar_Scene Good_for_Drinks Great_View Outdoor_Dining†31-50†Brunch Lunch Dinner††1 Pico Boulevard, Santa Monica, CA 90405†310.587.1717††all_American†Valet†https://www.shuttersonthebeach.com/dining/one-pico
Ox & Son†Santa Monica†Foodie_Famous hotspot Great_for_Brunch†31-50†Breakfast Brunch Lunch Dinner††1534 Montana Ave, Santa Monica, CA 90403†(310) 829-3990††all_American††http://oxandson.com/
Pizza Antica†Santa Monica†Casual Lively Family_Friendly†20-30†Lunch Dinner††395 Santa Monica Place #304, Santa Monica, CA 90401†(310) 394-4080††all_American Italian Pizza†In the mall, free parking†pizzaantica.com
Red O†Santa Monica†Swanky Sceney Bar_Scene Bar_Seating Trendy Takes_Reservations†31-50†Brunch Lunch Dinner††1541 Ocean Ave #120, Santa Monica, CA 90401†(310) 458-1600††Mexican††www.redorestaurant.com/
R+D Kitchen†Santa Monica†Casual Lively Family_Friendly No_Reservations Bar_Seating Healthy_Options†20-30†Lunch Dinner††1323 Montana Ave, Santa Monica, CA 90403†(310) 395-3314††all_American††http://rd-kitchen.com/locations/santamonica/
Rustic Canyon†Santa Monica†Good_for_Parents Small_Plates farm_to_table Rotating_Menu†50+†Dinner††1119 Wilshire Blvd, Santa Monica, CA 90401†(310) 393-7050††all_American†Valet†rusticcanyonwinebar.com
Santa Monica Yacht Club†Santa Monica†Foodie_Famous Good_for_Parents Good_for_Groups Swanky Lively Trendy†31-50†Dinner††620 Santa Monica Blvd, Santa Monica, CA 90401†(310) 587-3330††Seafood††eatsmyc.com
Seasalt Fish Grill†Santa Monica†Casual rotating_menu Locals No_Reservations†20-30†Lunch Dinner††508 Santa Monica Blvd, Santa Monica, CA 90401†(310) 656-9777††Seafood††seasaltfishgrill.com
Sonoma Wine Garden†Santa Monica†Casual Lively Bar_Seating Good_Drinks†20-30†Brunch Lunch Dinner††395 Santa Monica Pier #300, Santa Monica, CA 90401†(424) 214-4560††all_American†In the mall, free parking†http://www.sonomawinegarden.com/
Stella Barra†Santa Monica†Casual Family_Friendly Lively No_Reservations Bar_Seating Private_Room†20-30†Brunch Lunch Drinks Dinner ††2000 Main St, Santa Monica, CA 90405†(310) 396-9250††Italian Pizza††http://stellabarra.com/
Sugarfish†Santa Monica†Authentic Take_out_options Beer_and_Wine Date_Spot afternoon Hard_to_Get_a_Table Hotspot No_Reservations Worth_the_lines†31-50†Lunch Dinner††1345 2nd St, Santa Monica, CA 90401†(310) 393-3338††Sushi Japanese†Parking with validation  in the lot beneath the building next door.  There is also a paid parking lot across the street.†http://sugarfishsushi.com/our-locations/santa-monica
Sushi Roku†Santa Monica†Bar_Scene Fun Good_Ambiance Great_View Date_Night Prime_Location Shareable†20-30†Lunch Dinner Happy_Hour††1401 Ocean Ave, Santa Monica, CA 90401†(310) 458-4771††Sushi Japanese†Valet Parking†http://www.innovativedining.com/restaurants/sushiroku/locations
Tar & Roses†Santa Monica†Small_Plates Vegetarian_Options Hard_to_Get_a_Table hotspot First_Date Takes_Walk_Ins Beer_and_Wine Shareable Private_Room Innovative†20-30†Dinner††602 Santa Monica Blvd, Santa Monica, CA 90401†(310) 587-0700††all_American Italian†tapas†http://www.tarandroses.com/
The Dining Room†Santa Monica†Hotel_Dining Prime_Location Takes_Reservations†20-30†Breakfast Brunch Lunch Dinner††1301 Ocean Ave, Santa Monica, CA 90401†(310) 451-0717††All_American†Valet parking at Shangri-La†http://www.shangrila-hotel.com/dining-en.html
The Misfit†Santa Monica†Bar_Scene Bar_Seating Casual Chef_Inventive Fun Good_Ambiance Good_for_Groups Hotspot Lively_Bar_Area Prime_Location Share_Plates Takes_Walk_Ins†20-30†Brunch Lunch Drinks Dinner††225 Santa Monica Blvd, Santa Monica, CA 90401†(310) 656-9800††All_American Tapas†Open late†http://www.themisfitbar.com/
The Penthouse†Santa Monica†Bar_Scene Bar_Seating Hotel_Dining Great_View†31-50†Brunch Breakfast Lunch Drinks Dinner††The Huntley Hotel, 1111 2nd St, Santa Monica, CA 90403†(310) 394-5454††All_American†Valet at Huntley Hotel, Ocean view†http://www.thehuntleyhotel.com/penthouse
The Upper West†Santa Monica†Chef_Inventive GF_Options Fusion Happy_Hour Hotspot Outdoor_Dining Private_Room†20-30†Lunch Dinner Happy_Hour††3321 Pico Blvd, Santa Monica, CA 90405†(310) 586-1111††All_American Fusion†Valet†http://www.theupperwest.com/
The Wilshire†Santa Monica†Afternoon Outdoor_Dining Happy_Hour Hidden_Gem Locals†20-30†Lunch Dinner Happy_Hour††2454 Wilshire Blvd, Santa Monica, CA 90403†(310) 586-1707††All_American Italian†Valet                        Beautiful Back Patio           Closed Sunday†http://wilshirerestaurant.com/
True Food Kitchen†Santa Monica†Casual Family_Friendly Healthy_Options†20-30†Brunch Lunch Dinner††395 Santa Monica Pier #172, Santa Monica, CA 90401†(310) 593-8300††All_American††http://www.truefoodkitchen.com/locations/santa-monica/
Umami Burger†Santa Monica†Beer_and_Wine Casual Foodie_Famous afternoon No_Reservations†20-30†Lunch Dinner††500 Broadway, Santa Monica, CA 90401†(310) 451-1300††burgers All_American†Famous for Burgers          No Substitutions†https://www.umamiburger.com/locations/santa-monica/
Water Grill†Santa Monica†Great_View Open_Late Prime_Location Bar_Seating Upscale†31-50†Lunch Dinner††1401 Ocean Ave, Santa Monica, CA 90401†(310) 394-5669††Seafood†Open Late†http://www.watergrill.com/
Wokano†Santa Monica†open_late Bar_Scene Date_Night Lively Good_Ambiance Locals†20-30†Lunch Dinner Happy_Hour††1413 5th St, Santa Monica, CA 90401†(310) 458-3080††Japanese Sushi†Open Late†http://www.wokcanorestaurant.com/locations/santa-monica/
